Prompt Number,age,ethnicity,gender,education,diagnosis,treatment_outlook,Prompt Text
79,50,African,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
80,30,African,male,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
81,30,European,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
82,85,African,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
83,30,Asian,female,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
84,30,African,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
85,60,African,female,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
86,85,Asian,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
87,50,African,male,high school diploma or lower,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
88,80,European,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
89,60,Asian,male,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old Asian male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
90,80,African,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
91,50,Asian,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
92,70,Asian,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
93,50,African,female,university degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old African female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
94,30,Asian,female,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old Asian female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
95,50,European,female,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
96,50,Asian,female,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
97,85,European,female,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
98,70,African,male,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old African male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
99,75,European,male,high school diploma or lower,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
100,70,African,male,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
101,60,European,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
102,80,European,male,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old European male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
103,30,African,male,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
104,85,European,male,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old European male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
105,80,African,female,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
106,60,European,female,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old European female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
107,85,African,male,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old African male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
108,70,European,female,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
109,50,African,female,high school diploma or lower,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old African female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
110,70,European,female,university degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old European female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
111,80,European,female,university degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old European female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
112,50,Asian,male,university degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old Asian male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
113,75,Asian,male,university degree,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old Asian male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
114,12,European,female,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 12-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
115,60,European,female,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
116,8,Asian,female,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 8-year-old Asian female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
117,8,European,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 8-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
118,75,Asian,male,medical degree,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old Asian male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
119,50,European,female,university degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old European female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
120,85,Asian,male,university degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old Asian male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
121,60,African,male,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old African male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
122,30,European,female,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old European female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
123,8,European,female,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 8-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
124,85,African,male,university degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old African male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
125,70,African,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
126,12,Asian,female,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 12-year-old Asian female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
127,50,Asian,female,high school diploma or lower,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old Asian female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
128,30,European,female,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
129,30,African,female,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
130,75,European,female,medical degree,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
131,8,Asian,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 8-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
132,80,European,female,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
133,80,Asian,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
134,50,Asian,female,medical degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
135,70,European,male,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
136,80,Asian,female,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
137,80,European,female,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
138,80,African,female,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old African female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
139,30,African,female,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
140,70,African,male,university degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old African male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
141,50,Asian,female,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old Asian female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
142,80,European,male,university degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old European male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
143,70,African,female,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old African female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
144,75,African,male,medical degree,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old African male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
145,75,African,female,medical degree,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
146,60,Asian,female,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old Asian female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
147,50,European,female,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
148,75,African,male,university degree,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old African male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
149,50,Asian,female,university degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old Asian female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
150,50,European,male,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old European male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
151,50,African,male,university degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old African male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
152,50,Asian,male,university degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old Asian male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
153,30,European,female,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
154,80,Asian,male,university degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old Asian male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
155,50,European,female,medical degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
